scale,selector,anchor_p,seed_q0,true_q_for_audit_only,selected_q,selector_status,failure_mode
1000000000000,d4_nlsc_without_threat_or_margin,999999994897,999999994907,999999994909,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999994823,999999994871,999999994897,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999994823,999999994871,999999994897,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999994781,999999994783,999999994793,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999994781,999999994783,999999994793,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999994769,999999994771,999999994781,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999994769,999999994771,999999994781,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999994729,999999994753,999999994769,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999994729,999999994753,999999994769,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999994687,999999994723,999999994729,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999994687,999999994723,999999994729,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999994639,999999994661,999999994687,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999994639,999999994661,999999994687,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999994583,999999994601,999999994603,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999994583,999999994601,999999994603,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999994517,999999994531,999999994579,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999994517,999999994531,999999994579,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999994471,999999994481,999999994493,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999994471,999999994481,999999994493,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999994457,999999994459,999999994463,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999994457,999999994459,999999994463,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999994379,999999994381,999999994403,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999994379,999999994381,999999994403,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999994361,999999994363,999999994379,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999994361,999999994363,999999994379,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999994319,999999994339,999999994361,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999994319,999999994339,999999994361,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999994127,999999994159,999999994163,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999994127,999999994159,999999994163,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,milestone1_boundary_without_offset,999999994087,999999994111,999999994117,,InsufficientBoundarySelectorStateError,no_selection
1000000000000,d4_nlsc_without_threat_or_margin,999999994087,999999994111,999999994117,,InsufficientBoundarySelectorStateError,no_selection
