scale,rule_id,anchor_p,seed_q0,true_q_for_audit_only,selected_q,selected_delta_from_true,failure_mode,run_length,failure_reason,residue_exhausted,open_witness_count,closed_witness_count,materialized_witness_count
1000000000000000,M4_witness_run_odd_resclosed,999999999992921,999999999992951,999999999992999,,,no_selection,24,no_unmarked_candidate_in_materialized_stream,False,11,7,14
1000000000000000,M1_visible_run_all,999999999992999,999999999993011,999999999993067,999999999993017,-50,selected_too_early,5,,False,11,3,13
1000000000000000,M2_visible_run_odd,999999999992999,999999999993011,999999999993067,999999999993017,-50,selected_too_early,2,,False,11,1,13
1000000000000000,M3_witness_run_odd,999999999992999,999999999993011,999999999993067,,,no_selection,28,no_unmarked_candidate_in_materialized_stream,False,11,5,13
1000000000000000,M4_witness_run_odd_resclosed,999999999992999,999999999993011,999999999993067,,,no_selection,28,no_unmarked_candidate_in_materialized_stream,False,11,5,13
1000000000000000,M1_visible_run_all,999999999993067,999999999993073,999999999993089,999999999993089,0,correct,15,,False,4,1,6
1000000000000000,M2_visible_run_odd,999999999993067,999999999993073,999999999993089,999999999993089,0,correct,7,,False,4,1,6
1000000000000000,M3_witness_run_odd,999999999993067,999999999993073,999999999993089,,,no_selection,8,no_unmarked_candidate_in_materialized_stream,False,4,1,6
1000000000000000,M4_witness_run_odd_resclosed,999999999993067,999999999993073,999999999993089,,,no_selection,8,no_unmarked_candidate_in_materialized_stream,False,4,1,6
1000000000000000,M1_visible_run_all,999999999993089,999999999993091,999999999993097,999999999993097,0,correct,5,,True,2,2,3
1000000000000000,M2_visible_run_odd,999999999993089,999999999993091,999999999993097,999999999993097,0,correct,2,,False,2,1,3
1000000000000000,M3_witness_run_odd,999999999993089,999999999993091,999999999993097,,,no_selection,3,no_unmarked_candidate_in_materialized_stream,False,2,1,3
1000000000000000,M4_witness_run_odd_resclosed,999999999993089,999999999993091,999999999993097,,,no_selection,3,no_unmarked_candidate_in_materialized_stream,False,2,1,3
1000000000000000,M1_visible_run_all,999999999993097,999999999993101,999999999993109,999999999993107,-2,selected_too_early,5,,False,2,1,3
1000000000000000,M2_visible_run_odd,999999999993097,999999999993101,999999999993109,999999999993107,-2,selected_too_early,2,,False,2,1,3
1000000000000000,M3_witness_run_odd,999999999993097,999999999993101,999999999993109,,,no_selection,4,no_unmarked_candidate_in_materialized_stream,False,2,1,3
1000000000000000,M4_witness_run_odd_resclosed,999999999993097,999999999993101,999999999993109,,,no_selection,4,no_unmarked_candidate_in_materialized_stream,False,2,1,3
1000000000000000,M1_visible_run_all,999999999993109,999999999993121,999999999993131,999999999993131,0,correct,9,,True,2,2,4
1000000000000000,M2_visible_run_odd,999999999993109,999999999993121,999999999993131,999999999993131,0,correct,4,,True,2,2,4
1000000000000000,M3_witness_run_odd,999999999993109,999999999993121,999999999993131,,,no_selection,5,no_unmarked_candidate_in_materialized_stream,True,2,2,4
1000000000000000,M4_witness_run_odd_resclosed,999999999993109,999999999993121,999999999993131,,,no_selection,5,no_unmarked_candidate_in_materialized_stream,True,2,2,4
1000000000000000,M1_visible_run_all,999999999993131,999999999993139,999999999993143,999999999993143,0,correct,3,,True,1,1,2
1000000000000000,M2_visible_run_odd,999999999993131,999999999993139,999999999993143,999999999993143,0,correct,1,,False,1,0,2
1000000000000000,M3_witness_run_odd,999999999993131,999999999993139,999999999993143,,,no_selection,2,no_unmarked_candidate_in_materialized_stream,True,1,1,2
1000000000000000,M4_witness_run_odd_resclosed,999999999993131,999999999993139,999999999993143,,,no_selection,2,no_unmarked_candidate_in_materialized_stream,True,1,1,2
1000000000000000,M1_visible_run_all,999999999993217,999999999993221,999999999993227,999999999993223,-4,selected_too_early,1,,False,1,0,2
1000000000000000,M2_visible_run_odd,999999999993217,999999999993221,999999999993227,,,no_selection,0,first_candidate_unmarked,False,2,0,2
1000000000000000,M3_witness_run_odd,999999999993217,999999999993221,999999999993227,,,no_selection,3,no_unmarked_candidate_in_materialized_stream,True,1,1,2
1000000000000000,M4_witness_run_odd_resclosed,999999999993217,999999999993221,999999999993227,,,no_selection,3,no_unmarked_candidate_in_materialized_stream,True,1,1,2
1000000000000000,M1_visible_run_all,999999999993227,999999999993229,999999999993331,999999999993251,-80,selected_too_early,21,,False,15,7,16
1000000000000000,M2_visible_run_odd,999999999993227,999999999993229,999999999993331,999999999993251,-80,selected_too_early,10,,False,15,4,16
1000000000000000,M3_witness_run_odd,999999999993227,999999999993229,999999999993331,,,no_selection,51,no_unmarked_candidate_in_materialized_stream,False,15,8,16
1000000000000000,M4_witness_run_odd_resclosed,999999999993227,999999999993229,999999999993331,,,no_selection,51,no_unmarked_candidate_in_materialized_stream,False,15,8,16
1000000000000000,M1_visible_run_all,999999999993331,999999999993349,999999999993377,999999999993377,0,correct,27,,False,7,3,9
1000000000000000,M2_visible_run_odd,999999999993331,999999999993349,999999999993377,999999999993377,0,correct,13,,False,7,3,9
1000000000000000,M3_witness_run_odd,999999999993331,999999999993349,999999999993377,,,no_selection,14,no_unmarked_candidate_in_materialized_stream,False,7,3,9
1000000000000000,M4_witness_run_odd_resclosed,999999999993331,999999999993349,999999999993377,,,no_selection,14,no_unmarked_candidate_in_materialized_stream,False,7,3,9
1000000000000000,M1_visible_run_all,999999999993389,999999999993433,999999999993473,999999999993469,-4,selected_too_early,35,,False,9,5,11
1000000000000000,M2_visible_run_odd,999999999993389,999999999993433,999999999993473,999999999993469,-4,selected_too_early,17,,False,9,5,11
1000000000000000,M3_witness_run_odd,999999999993389,999999999993433,999999999993473,,,no_selection,20,no_unmarked_candidate_in_materialized_stream,False,9,6,11
1000000000000000,M4_witness_run_odd_resclosed,999999999993389,999999999993433,999999999993473,,,no_selection,20,no_unmarked_candidate_in_materialized_stream,False,9,6,11
1000000000000000,M1_visible_run_all,999999999993473,999999999993479,999999999993497,999999999993493,-4,selected_too_early,13,,False,4,2,6
1000000000000000,M2_visible_run_odd,999999999993473,999999999993479,999999999993497,999999999993493,-4,selected_too_early,6,,False,4,2,6
1000000000000000,M3_witness_run_odd,999999999993473,999999999993479,999999999993497,,,no_selection,9,no_unmarked_candidate_in_materialized_stream,False,4,2,6
1000000000000000,M4_witness_run_odd_resclosed,999999999993473,999999999993479,999999999993497,,,no_selection,9,no_unmarked_candidate_in_materialized_stream,False,4,2,6
1000000000000000,M1_visible_run_all,999999999993497,999999999993539,999999999993557,999999999993557,0,correct,17,,False,4,3,7
1000000000000000,M2_visible_run_odd,999999999993497,999999999993539,999999999993557,999999999993557,0,correct,8,,False,4,2,7
1000000000000000,M3_witness_run_odd,999999999993497,999999999993539,999999999993557,,,no_selection,9,no_unmarked_candidate_in_materialized_stream,False,4,2,7
1000000000000000,M4_witness_run_odd_resclosed,999999999993497,999999999993539,999999999993557,,,no_selection,9,no_unmarked_candidate_in_materialized_stream,False,4,2,7
1000000000000000,M1_visible_run_all,999999999993557,999999999993563,999999999993569,999999999993569,0,correct,5,,True,1,1,3
1000000000000000,M2_visible_run_odd,999999999993557,999999999993563,999999999993569,999999999993569,0,correct,2,,True,1,1,3
1000000000000000,M3_witness_run_odd,999999999993557,999999999993563,999999999993569,,,no_selection,3,no_unmarked_candidate_in_materialized_stream,True,1,1,3
1000000000000000,M4_witness_run_odd_resclosed,999999999993557,999999999993563,999999999993569,,,no_selection,3,no_unmarked_candidate_in_materialized_stream,True,1,1,3
1000000000000000,M1_visible_run_all,999999999993583,999999999993607,999999999993629,999999999993629,0,correct,21,,False,6,3,8
1000000000000000,M2_visible_run_odd,999999999993583,999999999993607,999999999993629,999999999993629,0,correct,10,,False,6,3,8
1000000000000000,M3_witness_run_odd,999999999993583,999999999993607,999999999993629,,,no_selection,11,no_unmarked_candidate_in_materialized_stream,False,6,3,8
1000000000000000,M4_witness_run_odd_resclosed,999999999993583,999999999993607,999999999993629,,,no_selection,11,no_unmarked_candidate_in_materialized_stream,False,6,3,8
1000000000000000,M1_visible_run_all,999999999993629,999999999993637,999999999993649,999999999993649,0,correct,11,,False,4,3,5
1000000000000000,M2_visible_run_odd,999999999993629,999999999993637,999999999993649,999999999993649,0,correct,5,,False,4,1,5
1000000000000000,M3_witness_run_odd,999999999993629,999999999993637,999999999993649,,,no_selection,6,no_unmarked_candidate_in_materialized_stream,False,4,1,5
1000000000000000,M4_witness_run_odd_resclosed,999999999993629,999999999993637,999999999993649,,,no_selection,6,no_unmarked_candidate_in_materialized_stream,False,4,1,5
1000000000000000,M1_visible_run_all,999999999993653,999999999993677,999999999993689,999999999993689,0,correct,11,,False,3,2,5
1000000000000000,M2_visible_run_odd,999999999993653,999999999993677,999999999993689,999999999993689,0,correct,5,,False,3,2,5
