scale,window_mode,interval_lo,interval_hi,p,w,q,gap_size,winner_offset,q_offset,winner_d,S_plus_w,square_threat_distance,margin,closure_utilization,log_score_w
100000000000000000,even,2,2000002,1831,1835,1847,16,4,16,4,1849,14,2,0.8571428571428571,-7.51479976048867
100000000000000000,even,2,2000002,5023,5027,5039,16,4,16,4,5041,14,2,0.8571428571428571,-8.522578663692576
100000000000000000,even,2,2000002,177223,177227,177239,16,4,16,4,177241,14,2,0.8571428571428571,-12.085186675749117
100000000000000000,even,2,2000002,776143,776147,776159,16,4,16,4,776161,14,2,0.8571428571428571,-13.562097214214884
100000000000000000,even,2,2000002,1661503,1661507,1661519,16,4,16,4,1661521,14,2,0.8571428571428571,-14.323235579828399
100000000000000000,even,2,2000002,1745011,1745027,1745039,28,16,28,4,1745041,14,2,0.8571428571428571,-14.372280586278332
1000000000000000000,even,2,2000002,1831,1835,1847,16,4,16,4,1849,14,2,0.8571428571428571,-7.51479976048867
1000000000000000000,even,2,2000002,5023,5027,5039,16,4,16,4,5041,14,2,0.8571428571428571,-8.522578663692576
1000000000000000000,even,2,2000002,177223,177227,177239,16,4,16,4,177241,14,2,0.8571428571428571,-12.085186675749117
1000000000000000000,even,2,2000002,776143,776147,776159,16,4,16,4,776161,14,2,0.8571428571428571,-13.562097214214884
1000000000000000000,even,2,2000002,1661503,1661507,1661519,16,4,16,4,1661521,14,2,0.8571428571428571,-14.323235579828399
1000000000000000000,even,2,2000002,1745011,1745027,1745039,28,16,28,4,1745041,14,2,0.8571428571428571,-14.372280586278332
1000000,exact,2,1000001,7907,7909,7919,12,2,12,4,7921,12,2,0.8333333333333334,-8.975756630519417
1000000,exact,2,1000001,16111,16117,16127,16,6,16,4,16129,12,2,0.8333333333333334,-9.687629894522718
1000000,exact,2,1000001,44507,44509,44519,12,2,12,4,44521,12,2,0.8333333333333334,-10.703446694896137
1000000,exact,2,1000001,49711,49717,49727,16,6,16,4,49729,12,2,0.8333333333333334,-10.814102205912047
1000000,exact,2,1000001,552031,552037,552047,16,6,16,4,552049,12,2,0.8333333333333334,-13.221370351998397
1000000,exact,2,1000001,563987,563989,563999,12,2,12,4,564001,12,2,0.8333333333333334,-13.2427900267439
1000000,exact,2,1000001,573031,573037,573047,16,6,16,4,573049,12,2,0.8333333333333334,-13.258705566037996
1000000,exact,2,1000001,657707,657709,657719,12,2,12,4,657721,12,2,0.8333333333333334,-13.396517863246295
100000000,even,2,2000002,7907,7909,7919,12,2,12,4,7921,12,2,0.8333333333333334,-8.975756630519417
100000000,even,2,2000002,16111,16117,16127,16,6,16,4,16129,12,2,0.8333333333333334,-9.687629894522718
100000000,even,2,2000002,44507,44509,44519,12,2,12,4,44521,12,2,0.8333333333333334,-10.703446694896137
100000000,even,2,2000002,49711,49717,49727,16,6,16,4,49729,12,2,0.8333333333333334,-10.814102205912047
100000000,even,2,2000002,552031,552037,552047,16,6,16,4,552049,12,2,0.8333333333333334,-13.221370351998397
100000000,even,2,2000002,563987,563989,563999,12,2,12,4,564001,12,2,0.8333333333333334,-13.2427900267439
100000000,even,2,2000002,573031,573037,573047,16,6,16,4,573049,12,2,0.8333333333333334,-13.258705566037996
100000000,even,2,2000002,657707,657709,657719,12,2,12,4,657721,12,2,0.8333333333333334,-13.396517863246295
100000000,even,2,2000002,1190263,1190269,1190279,16,6,16,4,1190281,12,2,0.8333333333333334,-13.989689889962333
1000000000,even,2,2000002,7907,7909,7919,12,2,12,4,7921,12,2,0.8333333333333334,-8.975756630519417
1000000000,even,2,2000002,16111,16117,16127,16,6,16,4,16129,12,2,0.8333333333333334,-9.687629894522718
1000000000,even,2,2000002,44507,44509,44519,12,2,12,4,44521,12,2,0.8333333333333334,-10.703446694896137
1000000000,even,2,2000002,49711,49717,49727,16,6,16,4,49729,12,2,0.8333333333333334,-10.814102205912047
1000000000,even,2,2000002,552031,552037,552047,16,6,16,4,552049,12,2,0.8333333333333334,-13.221370351998397
1000000000,even,2,2000002,563987,563989,563999,12,2,12,4,564001,12,2,0.8333333333333334,-13.2427900267439
1000000000,even,2,2000002,573031,573037,573047,16,6,16,4,573049,12,2,0.8333333333333334,-13.258705566037996
1000000000,even,2,2000002,657707,657709,657719,12,2,12,4,657721,12,2,0.8333333333333334,-13.396517863246295
1000000000,even,2,2000002,1190263,1190269,1190279,16,6,16,4,1190281,12,2,0.8333333333333334,-13.989689889962333
10000000000,even,2,2000002,7907,7909,7919,12,2,12,4,7921,12,2,0.8333333333333334,-8.975756630519417
10000000000,even,2,2000002,16111,16117,16127,16,6,16,4,16129,12,2,0.8333333333333334,-9.687629894522718
10000000000,even,2,2000002,44507,44509,44519,12,2,12,4,44521,12,2,0.8333333333333334,-10.703446694896137
10000000000,even,2,2000002,49711,49717,49727,16,6,16,4,49729,12,2,0.8333333333333334,-10.814102205912047
10000000000,even,2,2000002,552031,552037,552047,16,6,16,4,552049,12,2,0.8333333333333334,-13.221370351998397
10000000000,even,2,2000002,563987,563989,563999,12,2,12,4,564001,12,2,0.8333333333333334,-13.2427900267439
10000000000,even,2,2000002,573031,573037,573047,16,6,16,4,573049,12,2,0.8333333333333334,-13.258705566037996
10000000000,even,2,2000002,657707,657709,657719,12,2,12,4,657721,12,2,0.8333333333333334,-13.396517863246295
10000000000,even,2,2000002,1190263,1190269,1190279,16,6,16,4,1190281,12,2,0.8333333333333334,-13.989689889962333
100000000000,even,2,2000002,7907,7909,7919,12,2,12,4,7921,12,2,0.8333333333333334,-8.975756630519417
100000000000,even,2,2000002,16111,16117,16127,16,6,16,4,16129,12,2,0.8333333333333334,-9.687629894522718
100000000000,even,2,2000002,44507,44509,44519,12,2,12,4,44521,12,2,0.8333333333333334,-10.703446694896137
100000000000,even,2,2000002,49711,49717,49727,16,6,16,4,49729,12,2,0.8333333333333334,-10.814102205912047
100000000000,even,2,2000002,552031,552037,552047,16,6,16,4,552049,12,2,0.8333333333333334,-13.221370351998397
100000000000,even,2,2000002,563987,563989,563999,12,2,12,4,564001,12,2,0.8333333333333334,-13.2427900267439
100000000000,even,2,2000002,573031,573037,573047,16,6,16,4,573049,12,2,0.8333333333333334,-13.258705566037996
100000000000,even,2,2000002,657707,657709,657719,12,2,12,4,657721,12,2,0.8333333333333334,-13.396517863246295
100000000000,even,2,2000002,1190263,1190269,1190279,16,6,16,4,1190281,12,2,0.8333333333333334,-13.989689889962333
1000000000000,even,2,2000002,7907,7909,7919,12,2,12,4,7921,12,2,0.8333333333333334,-8.975756630519417
1000000000000,even,2,2000002,16111,16117,16127,16,6,16,4,16129,12,2,0.8333333333333334,-9.687629894522718
1000000000000,even,2,2000002,44507,44509,44519,12,2,12,4,44521,12,2,0.8333333333333334,-10.703446694896137
1000000000000,even,2,2000002,49711,49717,49727,16,6,16,4,49729,12,2,0.8333333333333334,-10.814102205912047
1000000000000,even,2,2000002,552031,552037,552047,16,6,16,4,552049,12,2,0.8333333333333334,-13.221370351998397
1000000000000,even,2,2000002,563987,563989,563999,12,2,12,4,564001,12,2,0.8333333333333334,-13.2427900267439
1000000000000,even,2,2000002,573031,573037,573047,16,6,16,4,573049,12,2,0.8333333333333334,-13.258705566037996
1000000000000,even,2,2000002,657707,657709,657719,12,2,12,4,657721,12,2,0.8333333333333334,-13.396517863246295
1000000000000,even,2,2000002,1190263,1190269,1190279,16,6,16,4,1190281,12,2,0.8333333333333334,-13.989689889962333
10000000000000,even,2,2000002,7907,7909,7919,12,2,12,4,7921,12,2,0.8333333333333334,-8.975756630519417
10000000000000,even,2,2000002,16111,16117,16127,16,6,16,4,16129,12,2,0.8333333333333334,-9.687629894522718
10000000000000,even,2,2000002,44507,44509,44519,12,2,12,4,44521,12,2,0.8333333333333334,-10.703446694896137
10000000000000,even,2,2000002,49711,49717,49727,16,6,16,4,49729,12,2,0.8333333333333334,-10.814102205912047
10000000000000,even,2,2000002,552031,552037,552047,16,6,16,4,552049,12,2,0.8333333333333334,-13.221370351998397
10000000000000,even,2,2000002,563987,563989,563999,12,2,12,4,564001,12,2,0.8333333333333334,-13.2427900267439
10000000000000,even,2,2000002,573031,573037,573047,16,6,16,4,573049,12,2,0.8333333333333334,-13.258705566037996
10000000000000,even,2,2000002,657707,657709,657719,12,2,12,4,657721,12,2,0.8333333333333334,-13.396517863246295
10000000000000,even,2,2000002,1190263,1190269,1190279,16,6,16,4,1190281,12,2,0.8333333333333334,-13.989689889962333
100000000000000,even,2,2000002,7907,7909,7919,12,2,12,4,7921,12,2,0.8333333333333334,-8.975756630519417
100000000000000,even,2,2000002,16111,16117,16127,16,6,16,4,16129,12,2,0.8333333333333334,-9.687629894522718
100000000000000,even,2,2000002,44507,44509,44519,12,2,12,4,44521,12,2,0.8333333333333334,-10.703446694896137
