scale,key_name,anchor_p,seed_q0,true_q_for_audit_only,selected_q,failure_mode
1000000000000000,K_seed_mods,999999999995539,999999999995543,999999999995567,999999999995593,selected_too_late
1000000000000000,K_seed_mods,999999999995471,999999999995509,999999999995539,999999999995527,selected_too_early
1000000000000000,K_seed_mods,999999999995453,999999999995461,999999999995471,,no_selection
1000000000000000,K_seed_mods,999999999995393,999999999995431,999999999995453,,no_selection
1000000000000000,K_seed_mods,999999999995371,999999999995389,999999999995393,,no_selection
1000000000000000,K_seed_mods,999999999995357,999999999995369,999999999995371,,no_selection
1000000000000000,K_seed_mods,999999999995327,999999999995329,999999999995357,,no_selection
1000000000000000,K_seed_mods,999999999995273,999999999995281,999999999995327,,no_selection
1000000000000000,K_seed_mods,999999999995179,999999999995197,999999999995273,,no_selection
1000000000000000,K_seed_mods,999999999995089,999999999995123,999999999995179,999999999995167,selected_too_early
1000000000000000,K_seed_mods,999999999995021,999999999995047,999999999995069,,no_selection
1000000000000000,K_seed_mods,999999999994991,999999999995011,999999999995021,999999999995113,selected_too_late
1000000000000000,K_seed_mods,999999999994901,999999999994913,999999999994991,,no_selection
1000000000000000,K_seed_mods,999999999994829,999999999994841,999999999994873,,no_selection
1000000000000000,K_seed_mods,999999999994813,999999999994823,999999999994829,999999999994883,selected_too_late
1000000000000000,K_seed_mods,999999999994733,999999999994739,999999999994789,,no_selection
1000000000000000,K_seed_mods,999999999994687,999999999994711,999999999994727,999999999994727,correct
1000000000000000,K_seed_mods,999999999994601,999999999994621,999999999994627,,no_selection
1000000000000000,K_seed_mods,999999999994511,999999999994519,999999999994537,,no_selection
1000000000000000,K_seed_mods,999999999994477,999999999994507,999999999994511,,no_selection
1000000000000000,K_seed_mods,999999999994451,999999999994453,999999999994477,,no_selection
1000000000000000,K_seed_mods,999999999994417,999999999994439,999999999994451,,no_selection
1000000000000000,K_seed_mods,999999999994379,999999999994381,999999999994417,,no_selection
1000000000000000,K_seed_mods,999999999994319,999999999994339,999999999994379,,no_selection
1000000000000000,K_seed_mods,999999999994267,999999999994279,999999999994309,,no_selection
1000000000000000,K_seed_mods,999999999994213,999999999994241,999999999994243,999999999994271,selected_too_late
1000000000000000,K_seed_mods,999999999994129,999999999994169,999999999994207,,no_selection
1000000000000000,K_seed_mods,999999999994103,999999999994111,999999999994117,,no_selection
1000000000000000,K_seed_mods,999999999994063,999999999994067,999999999994103,,no_selection
