scale,anchor_p,seed_q0,true_q_for_audit_only,terminal_delta_from_seed_for_audit_only,terminal_visible_index_for_audit_only,seed_offset_from_anchor,candidate_bound,visible_divisor_bound,carrier_d_probe_only,p_mod_30,p_mod_210,p_mod_2310,seed_mod_30,seed_mod_210,seed_mod_2310,visible_open_count_after_seed,visible_delta_vector,visible_delta_prefix_2,visible_delta_prefix_3,visible_delta_prefix_4,visible_delta_prefix_8,visible_gap_prefix_3,visible_gap_prefix_4,visible_gap_prefix_8,open_square_delta_from_seed,open_square_visible_count_before,candidate_bound_contains_terminal
1000000000000,999999995899,999999995909,999999995933,24,1,10,128,10000,,19,79,289,29,89,299,8,24.48.74.78.80.84.102.110,24.48,24.48.74,24.48.74.78,24.48.74.78.80.84.102.110,24.26.4,24.26.4.2,24.26.4.2.4.18.8,2004092,8,True
1000000000000,999999995773,999999995837,999999995857,20,1,64,128,10000,,13,163,163,17,17,227,3,20.50.62,20.50,20.50.62,20.50.62,20.50.62,30.12,30.12,30.12,2004164,3,True
1000000000000,999999995653,999999995681,999999995711,30,3,28,128,10000,,13,43,43,11,71,71,5,8.12.30.66.92,8.12,8.12.30,8.12.30.66,8.12.30.66.92,4.18.36,4.18.36.26,4.18.36.26,2004320,5,True
1000000000000,999999995581,999999995591,999999995653,62,5,10,128,10000,,1,181,2281,11,191,2291,8,18.38.48.50.62.90.98.102,18.38,18.38.48,18.38.48.50,18.38.48.50.62.90.98.102,20.10.2,20.10.2.12,20.10.2.12.28.8.4,2004410,8,True
1000000000000,999999995537,999999995539,999999995573,34,2,2,128,10000,,17,137,2237,19,139,2239,9,10.34.42.52.70.90.100.102.114,10.34,10.34.42,10.34.42.52,10.34.42.52.70.90.100.102,24.8.10,24.8.10.18,24.8.10.18.20.10.2.12,2004462,9,True
1000000000000,999999995497,999999995521,999999995537,16,1,24,128,10000,,7,97,2197,1,121,2221,7,16.18.28.52.60.70.88,16.18,16.18.28,16.18.28.52,16.18.28.52.60.70.88,2.10.24,2.10.24.8,2.10.24.8.10.18,2004480,7,True
1000000000000,999999995429,999999995441,999999995461,20,1,12,128,10000,,29,29,2129,11,41,2141,7,20.42.56.80.96.98.108,20.42,20.42.56,20.42.56.80,20.42.56.80.96.98.108,22.14.24,22.14.24.16,22.14.24.16.2.10,2004560,7,True
1000000000000,999999995383,999999995389,999999995413,24,1,6,128,10000,,13,193,2083,19,199,2089,7,24.30.40.52.72.94.108,24.30,24.30.40,24.30.40.52,24.30.40.52.72.94.108,6.10.12,6.10.12.20,6.10.12.20.22.14,2004612,7,True
1000000000000,999999995237,999999995257,999999995299,42,1,20,128,10000,,17,47,1937,7,67,1957,3,42.70.82,42.70,42.70.82,42.70.82,42.70.82,28.12,28.12,28.12,2004744,3,True
1000000000000,999999995207,999999995233,999999995237,4,1,26,128,10000,,17,17,1907,13,43,1933,4,4.24.66.94,4.24,4.24.66,4.24.66.94,4.24.66.94,20.42.28,20.42.28,20.42.28,2004768,4,True
